date,cam,count
2017-07-04,510,1661
2017-07-04,511,1017
2017-07-04,517,1549
2017-07-04,519,2027
2017-07-04,523,6791
2017-07-04,528,2102
2017-07-04,531,1674
2017-07-04,535,6264
2017-07-04,542,4081
2017-07-04,544,1236
2017-07-04,545,1816
2017-07-04,547,293
2017-07-04,548,1200
2017-07-04,550,1774
2017-07-04,551,1878
2017-07-04,552,1123
2017-07-04,715,450
2017-07-04,716,750
2017-07-04,717,2185
2017-07-04,722,3299
2017-07-04,725,1175
2017-07-04,789,3245
2017-07-04,790,817
2017-07-04,791,1335
2017-07-04,794,2469
2017-07-04,827,1336
2017-07-04,828,889
2017-07-04,838,3488
2017-07-04,845,1742
2017-07-04,846,2621
2017-07-04,869,1955
2017-07-04,891,4140
2017-07-04,893,117
2017-07-04,899,12393
2017-07-04,928,1091
2017-07-04,985,3621
2017-07-04,988,1079
2017-07-04,1028,2435
2017-07-05,163,5320
2017-07-05,165,1202
2017-07-05,166,338
2017-07-05,168,4689
2017-07-05,169,6199
2017-07-05,170,10680
2017-07-05,171,7402
2017-07-05,172,1561
2017-07-05,173,3710
2017-07-05,175,3281
2017-07-05,176,1236
2017-07-05,179,4880
2017-07-05,180,6424
2017-07-05,181,10319
2017-07-05,182,384
2017-07-05,187,3416
2017-07-05,192,2505
2017-07-05,211,187
2017-07-05,253,420
2017-07-05,287,1720
2017-07-05,292,342
2017-07-05,326,1062
2017-07-05,330,2200
2017-07-05,338,2429
2017-07-05,339,2204
2017-07-05,347,7435
2017-07-05,351,3834
2017-07-05,361,3067
2017-07-05,398,5413
2017-07-05,399,980
2017-07-05,400,1302
2017-07-05,403,2690
2017-07-05,404,2482
2017-07-05,406,3524
2017-07-05,407,1655
2017-07-05,409,4365
2017-07-05,410,1428
2017-07-05,412,0
2017-07-05,413,3152
2017-07-05,414,2860
2017-07-05,415,3182
2017-07-05,416,1566
2017-07-05,419,1793
2017-07-05,420,3860
2017-07-05,421,3043
2017-07-05,426,745
2017-07-05,427,1499
2017-07-05,430,1134
2017-07-05,432,2504
2017-07-05,433,2363
2017-07-05,445,3639
2017-07-05,446,25
2017-07-05,452,0
2017-07-05,459,1967
2017-07-05,472,938
2017-07-05,473,1642
2017-07-05,474,371
2017-07-05,475,8515
